,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact,Season
90,1,NSH,,Nick Bonino , Roman Josi,Calle Jarnkrok,2,00:17:43,00:17:43,NSH,2017-11-14,2,2,1063.0,NSH,2.0,0.0,Insurance Goal,2018
91,2,WSH,PP,T.J. Oshie , John Carlson,Evgeny Kuznetsov,8,00:24:29,00:04:29,NSH,2017-11-14,3,1,1469.0,NSH,2.0,1.0,Go-Ahead Goal,2018
92,2,WSH,,Alex Chiasson , Brett Connolly,John Carlson,2,00:26:28,00:06:28,NSH,2017-11-14,4,2,1588.0,NSH,2.0,2.0,Tie,2018
93,2,NSH,,Filip Forsberg ,,,9,00:26:45,00:06:45,NSH,2017-11-14,5,3,1605.0,NSH,3.0,2.0,Go-Ahead Goal,2018
94,2,NSH,,Kevin Fiala , Mattias Ekholm,,1,00:29:04,00:09:04,NSH,2017-11-14,6,4,1744.0,NSH,4.0,2.0,Insurance Goal,2018
95,2,WSH,,T.J. Oshie , Chandler Stephenson,Nicklas Backstrom,9,00:29:21,00:09:21,NSH,2017-11-14,7,3,1761.0,NSH,4.0,3.0,Go-Ahead Goal,2018
96,2,NSH,,Miikka Salomaki , Colton Sissons,Matt Irwin,2,00:34:06,00:14:06,NSH,2017-11-14,8,5,2046.0,NSH,5.0,3.0,Insurance Goal,2018
97,2,NSH,PP,Mattias Ekholm , Kyle Turris,Colton Sissons,2,00:38:00,00:18:00,NSH,2017-11-14,9,6,2280.0,NSH,6.0,3.0,Insurance Goal,2018
98,1,NSH,,Ryan Johansen , Filip Forsberg,Viktor Arvidsson,1,00:00:49,00:00:49,MIN,2017-11-16,1,1,49.0,MIN,0.0,1.0,Go-Ahead Goal,2018
99,2,NSH,,Roman Josi , Ryan Johansen,Mattias Ekholm,5,00:25:31,00:05:31,MIN,2017-11-16,2,2,1531.0,MIN,0.0,2.0,Insurance Goal,2018
100,2,NSH,SH,Mattias Ekholm ,,,3,00:32:47,00:12:47,MIN,2017-11-16,3,3,1967.0,MIN,0.0,3.0,Insurance Goal,2018
101,2,MIN,,Mathew Dumba , Jonas Brodin,Eric Staal,1,00:36:16,00:16:16,MIN,2017-11-16,4,1,2176.0,MIN,1.0,3.0,Lead Shrink,2018
102,2,MIN,PP,Nino Niederreiter , Mikael Granlund,Jared Spurgeon,4,00:39:21,00:19:21,MIN,2017-11-16,5,2,2361.0,MIN,2.0,3.0,Go-Ahead Goal,2018
103,3,NSH,,Viktor Arvidsson , Ryan Johansen,Filip Forsberg,7,00:40:57,00:00:57,MIN,2017-11-16,6,4,2457.0,MIN,2.0,4.0,Insurance Goal,2018
104,3,MIN,,Ryan Suter , Jared Spurgeon,Eric Staal,3,00:53:04,00:13:04,MIN,2017-11-16,7,3,3184.0,MIN,3.0,4.0,Go-Ahead Goal,2018
105,3,MIN,PP,Eric Staal , Marcus Foligno,Mathew Dumba,7,00:55:01,00:15:01,MIN,2017-11-16,8,4,3301.0,MIN,4.0,4.0,Tie,2018
106,3,MIN,,Jason Zucker , Mikko Koivu,Mikael Granlund,11,00:57:05,00:17:05,MIN,2017-11-16,9,5,3425.0,MIN,5.0,4.0,Go-Ahead Goal,2018
107,3,MIN,EN,Jared Spurgeon ,,,3,00:58:53,00:18:53,MIN,2017-11-16,10,6,3533.0,MIN,6.0,4.0,Insurance Goal,2018
108,1,NSH,PP,Craig Smith , P.K. Subban,Filip Forsberg,7,00:19:25,00:19:25,NSH,2017-11-18,1,1,1165.0,NSH,1.0,0.0,Go-Ahead Goal,2018
109,2,NSH,,Colton Sissons , Roman Josi,Nick Bonino,3,00:29:11,00:09:11,NSH,2017-11-18,2,2,1751.0,NSH,2.0,0.0,Insurance Goal,2018
110,2,NSH,,Anthony Bitetto , Craig Smith,Kevin Fiala,1,00:30:38,00:10:38,NSH,2017-11-18,3,3,1838.0,NSH,3.0,0.0,Insurance Goal,2018
111,3,NSH,PP,Mattias Ekholm , Kevin Fiala,Roman Josi,4,00:47:53,00:07:53,NSH,2017-11-18,4,4,2873.0,NSH,4.0,0.0,Insurance Goal,2018
112,3,NSH,,Viktor Arvidsson , P.K. Subban,Alexei Emelin,8,00:51:51,00:11:51,NSH,2017-11-18,5,5,3111.0,NSH,5.0,0.0,Insurance Goal,2018
113,3,COL,,Andrei Mironov , Nikita Zadorov,Alexander Kerfoot,1,00:55:23,00:15:23,NSH,2017-11-18,6,1,3323.0,NSH,5.0,1.0,Lead Shrink,2018
114,3,COL,,J.T. Compher , Alexander Kerfoot,,2,00:58:15,00:18:15,NSH,2017-11-18,7,2,3495.0,NSH,5.0,2.0,Lead Shrink,2018
115,1,NSH,,Kevin Fiala , P.K. Subban,Viktor Arvidsson,2,00:03:31,00:03:31,NSH,2017-11-20,1,1,211.0,NSH,1.0,0.0,Go-Ahead Goal,2018
116,1,WPG,PP,Mathieu Perreault , Tyler Myers,Bryan Little,4,00:06:23,00:06:23,NSH,2017-11-20,2,1,383.0,NSH,1.0,1.0,Tie,2018
117,2,NSH,,Ryan Johansen , Filip Forsberg,Viktor Arvidsson,2,00:20:26,00:00:26,NSH,2017-11-20,3,2,1226.0,NSH,2.0,1.0,Go-Ahead Goal,2018
118,2,NSH,PP,Kyle Turris , Roman Josi,Kevin Fiala,5,00:31:32,00:11:32,NSH,2017-11-20,4,3,1892.0,NSH,3.0,1.0,Insurance Goal,2018
119,2,NSH,PP,Mattias Ekholm , Roman Josi,Kyle Turris,5,00:39:02,00:19:02,NSH,2017-11-20,5,4,2342.0,NSH,4.0,1.0,Insurance Goal,2018
120,3,NSH,,Nick Bonino , P.K. Subban,Ryan Johansen,3,00:49:16,00:09:16,NSH,2017-11-20,6,5,2956.0,NSH,5.0,1.0,Insurance Goal,2018
121,3,WPG,,Tyler Myers , Mark Scheifele,Kyle Connor,3,00:50:40,00:10:40,NSH,2017-11-20,7,2,3040.0,NSH,5.0,2.0,Lead Shrink,2018
122,3,WPG,,Mathieu Perreault , Joel Armia,,5,00:56:04,00:16:04,NSH,2017-11-20,8,3,3364.0,NSH,5.0,3.0,Lead Shrink,2018
123,1,MTL,,Jordie Benn , Charles Hudon,Phillip Danault,2,00:12:47,00:12:47,NSH,2017-11-22,1,1,767.0,Shootout,0.0,1.0,Go-Ahead Goal,2018
124,1,NSH,PP,Filip Forsberg , Ryan Johansen,P.K. Subban,10,00:19:58,00:19:58,NSH,2017-11-22,2,1,1198.0,Shootout,1.0,1.0,Tie,2018
125,3,NSH,PP,Filip Forsberg , Craig Smith,,11,00:43:16,00:03:16,NSH,2017-11-22,3,2,2596.0,Shootout,2.0,1.0,Go-Ahead Goal,2018
126,3,MTL,,Joseph Morrow ,,,3,00:59:04,00:19:04,NSH,2017-11-22,4,2,3544.0,Shootout,2.0,2.0,Tie,2018
127,1,NSH,,Ryan Johansen , Filip Forsberg,P.K. Subban,3,00:02:32,00:02:32,STL,2017-11-24,1,1,152.0,NSH,0.0,1.0,Go-Ahead Goal,2018
128,3,NSH,EN,Austin Watson , Ryan Johansen,,2,00:59:12,00:19:12,STL,2017-11-24,2,2,3552.0,NSH,0.0,2.0,Insurance Goal,2018
129,1,CAR,,Josh Jooris , Marcus Kruger,Trevor van Riemsdyk,3,00:03:37,00:03:37,CAR,2017-11-26,1,1,217.0,Shootout,1.0,0.0,Go-Ahead Goal,2018
130,1,NSH,,Viktor Arvidsson , Mattias Ekholm,Juuse Saros,9,00:15:36,00:15:36,CAR,2017-11-26,2,1,936.0,Shootout,1.0,1.0,Tie,2018
131,2,NSH,PP,Mattias Ekholm , Roman Josi,Kyle Turris,6,00:30:32,00:10:32,CAR,2017-11-26,3,2,1832.0,Shootout,1.0,2.0,Go-Ahead Goal,2018
132,2,CAR,,Victor Rask , Elias Lindholm,Noah Hanifin,4,00:31:37,00:11:37,CAR,2017-11-26,4,2,1897.0,Shootout,2.0,2.0,Tie,2018
133,3,CAR,PP,Justin Williams , Derek Ryan,Victor Rask,4,00:45:49,00:05:49,CAR,2017-11-26,5,3,2749.0,Shootout,3.0,2.0,Go-Ahead Goal,2018
134,3,NSH,,Craig Smith , Kevin Fiala,,8,00:51:15,00:11:15,CAR,2017-11-26,6,3,3075.0,Shootout,3.0,3.0,Tie,2018
135,1,NSH,,Filip Forsberg , Viktor Arvidsson,Ryan Johansen,12,00:03:16,00:03:16,NSH,2017-11-28,1,1,196.0,NSH,1.0,0.0,Go-Ahead Goal,2018
136,1,CHI,,Tommy Wingels , Alex DeBrincat,Patrick Sharp,2,00:05:10,00:05:10,NSH,2017-11-28,2,1,310.0,NSH,1.0,1.0,Tie,2018
137,2,NSH,,Austin Watson , Matt Irwin,Anthony Bitetto,3,00:23:48,00:03:48,NSH,2017-11-28,3,2,1428.0,NSH,2.0,1.0,Go-Ahead Goal,2018
138,3,NSH,PP,Roman Josi , Kyle Turris,Colton Sissons,6,00:42:32,00:02:32,NSH,2017-11-28,4,3,2552.0,NSH,3.0,1.0,Insurance Goal,2018
139,3,CHI,,Lance Bouma , John Hayden,Jan Rutta,2,00:49:38,00:09:38,NSH,2017-11-28,5,2,2978.0,NSH,3.0,2.0,Go-Ahead Goal,2018
140,2,NSH,,Craig Smith , Matt Irwin,,9,00:22:42,00:02:42,NSH,2017-11-30,1,1,1362.0,VAN,1.0,0.0,Go-Ahead Goal,2018
141,2,VAN,,Brock Boeser , Bo Horvat,Alexander Edler,12,00:22:54,00:02:54,NSH,2017-11-30,2,1,1374.0,VAN,1.0,1.0,Tie,2018
142,2,NSH,PP,Filip Forsberg , Craig Smith,,13,00:24:31,00:04:31,NSH,2017-11-30,3,2,1471.0,VAN,2.0,1.0,Go-Ahead Goal,2018
143,2,VAN,,Loui Eriksson , Daniel Sedin,Henrik Sedin,4,00:34:11,00:14:11,NSH,2017-11-30,4,2,2051.0,VAN,2.0,2.0,Tie,2018
144,2,NSH,,Nick Bonino , Calle Jarnkrok,Roman Josi,4,00:36:45,00:16:45,NSH,2017-11-30,5,3,2205.0,VAN,3.0,2.0,Go-Ahead Goal,2018
145,3,VAN,PP,Daniel Sedin , Brock Boeser,Henrik Sedin,6,00:50:22,00:10:22,NSH,2017-11-30,6,3,3022.0,VAN,3.0,3.0,Tie,2018
146,3,VAN,,Brock Boeser , Nikolay Goldobin,Ben Hutton,13,00:54:08,00:14:08,NSH,2017-11-30,7,4,3248.0,VAN,3.0,4.0,Go-Ahead Goal,2018
147,3,VAN,EN,Loui Eriksson , Daniel Sedin,Henrik Sedin,5,00:59:03,00:19:03,NSH,2017-11-30,8,5,3543.0,VAN,3.0,5.0,Insurance Goal,2018
148,2,NSH,PP,Kevin Fiala , Colton Sissons,Kyle Turris,3,00:28:00,00:08:00,NSH,2017-12-02,1,1,1680.0,Shootout,1.0,0.0,Go-Ahead Goal,2018
