,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
1617,3,CHI,EN,Patrick Kane , David Kampf,,17,00:58:10,00:18:10,DAL,2018-12-20,6,4,3490.0,CHI,2.0,4.0,Insurance Goal
1618,3,CHI,EN,Brendan Perlini , Alex DeBrincat,,4,00:58:50,00:18:50,DAL,2018-12-20,7,5,3530.0,CHI,2.0,5.0,Insurance Goal
1619,3,DAL,,Jamie Benn , Alexander Radulov,,15,00:41:58,00:01:58,MIN,2018-12-22,1,1,2518.0,DAL,0.0,1.0,Go-Ahead Goal
1620,3,MIN,,Jason Zucker , Mikael Granlund,Eric Staal,10,00:57:57,00:17:57,MIN,2018-12-22,2,1,3477.0,DAL,1.0,1.0,Tie
1621,OT1,DAL,,Alexander Radulov , John Klingberg,Mattias Janmark,11,01:04:50,00:04:50,MIN,2018-12-22,3,2,3890.0,DAL,1.0,2.0,Go-Ahead Goal
1622,2,DAL,,Tyler Pitlick , Mattias Janmark,Jason Spezza,4,00:26:20,00:06:20,DAL,2018-12-23,1,1,1580.0,NYI,1.0,0.0,Go-Ahead Goal
1623,2,NYI,,Casey Cizikas ,,,9,00:34:10,00:14:10,DAL,2018-12-23,2,1,2050.0,NYI,1.0,1.0,Tie
1624,3,NYI,PP,Anders Lee , Nick Leddy,Mathew Barzal,13,00:48:50,00:08:50,DAL,2018-12-23,3,2,2930.0,NYI,1.0,2.0,Go-Ahead Goal
1625,3,NYI,EN,Leo Komarov ,,,4,00:59:00,00:19:00,DAL,2018-12-23,4,3,3540.0,NYI,1.0,3.0,Insurance Goal
1628,2,DAL,,Blake Comeau , Radek Faksa,Taylor Fedun,4,00:25:11,00:05:11,DAL,2018-12-29,1,1,1511.0,DAL,1.0,0.0,Go-Ahead Goal
1629,2,DAL,,Alexander Radulov , Mattias Janmark,Esa Lindell,12,00:31:11,00:11:11,DAL,2018-12-29,2,2,1871.0,DAL,2.0,0.0,Insurance Goal
