,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
64,2,BOS,PP,Brad Marchand , Patrice Bergeron,,3,00:39:42,00:19:42,CAR,2018-10-30,4,2,2382.0,BOS,2.0,2.0,Tie
65,3,BOS,,Brad Marchand , Patrice Bergeron,,4,00:45:23,00:05:23,CAR,2018-10-30,5,3,2723.0,BOS,2.0,3.0,Go-Ahead Goal
66,1,NSH,,Roman Josi , Ryan Ellis,Nick Bonino,4,00:14:49,00:14:49,NSH,2018-11-03,1,1,889.0,NSH,1.0,0.0,Go-Ahead Goal
67,1,DAL,SH,Radek Faksa , Miro Heiskanen,,3,00:03:51,00:03:51,BOS,2018-11-05,1,1,231.0,BOS,0.0,1.0,Go-Ahead Goal
68,1,BOS,PP,David Pastrnak , Patrice Bergeron,Jake Debrusk,12,00:05:11,00:05:11,BOS,2018-11-05,2,1,311.0,BOS,1.0,1.0,Tie
69,1,BOS,PP,Brad Marchand , David Krejci,Torey Krug,5,00:04:29,00:04:29,BOS,2018-11-05,3,2,269.0,BOS,2.0,1.0,Go-Ahead Goal
70,1,VAN,,Bo Horvat ,,,8,00:02:46,00:02:46,BOS,2018-11-08,1,1,166.0,VAN,0.0,1.0,Go-Ahead Goal
71,1,BOS,,Matt Grzelcyk , David Krejci,Jake Debrusk,1,00:13:41,00:13:41,BOS,2018-11-08,2,1,821.0,VAN,1.0,1.0,Tie
72,2,BOS,,Patrice Bergeron , Torey Krug,,8,00:20:36,00:00:36,BOS,2018-11-08,3,2,1236.0,VAN,2.0,1.0,Go-Ahead Goal
73,2,VAN,,Loui Eriksson , Erik Gudbranson,Markus Granlund,2,00:27:02,00:07:02,BOS,2018-11-08,4,2,1622.0,VAN,2.0,2.0,Tie
74,2,VAN,PP,Ben Hutton , Bo Horvat,Nikolay Goldobin,4,00:28:28,00:08:28,BOS,2018-11-08,5,3,1708.0,VAN,2.0,3.0,Go-Ahead Goal
75,2,BOS,,Jake Debrusk , David Krejci,Joakim Nordstrom,4,00:29:00,00:09:00,BOS,2018-11-08,6,3,1740.0,VAN,3.0,3.0,Tie
76,2,VAN,PP,Loui Eriksson , Ben Hutton,Brendan Leipsic,3,00:33:23,00:13:23,BOS,2018-11-08,7,4,2003.0,VAN,3.0,4.0,Go-Ahead Goal
77,2,VAN,,Antoine Roussel , Markus Granlund,Michael Del Zotto,3,00:34:53,00:14:53,BOS,2018-11-08,8,5,2093.0,VAN,3.0,5.0,Insurance Goal
78,2,BOS,PP,Jake Debrusk , Torey Krug,Brad Marchand,5,00:37:18,00:17:18,BOS,2018-11-08,9,4,2238.0,VAN,4.0,5.0,Go-Ahead Goal
