,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
480,1,ANA,,Andy Welinski ,,,1,00:10:09,00:10:09,CGY,2019-03-29,1,1,609.0,CGY,0.0,1.0,Go-Ahead Goal
481,1,CGY,,Mark Giordano , Sean Monahan,,17,00:15:32,00:15:32,CGY,2019-03-29,2,1,932.0,CGY,1.0,1.0,Tie
482,2,CGY,,Sean Monahan , Rasmus Andersson,Elias Lindholm,32,00:23:37,00:03:37,CGY,2019-03-29,3,2,1417.0,CGY,2.0,1.0,Go-Ahead Goal
483,2,CGY,PP,James Neal , Sean Monahan,Austin Czarnik,6,00:30:07,00:10:07,CGY,2019-03-29,4,3,1807.0,CGY,3.0,1.0,Insurance Goal
484,3,CGY,,Derek Ryan , T.J. Brodie,,10,00:48:07,00:08:07,CGY,2019-03-29,5,4,2887.0,CGY,4.0,1.0,Insurance Goal
485,3,CGY,,Garnet Hathaway , Travis Hamonic,Derek Ryan,11,00:54:37,00:14:37,CGY,2019-03-29,6,5,3277.0,CGY,5.0,1.0,Insurance Goal
486,3,CGY,,Sean Monahan , Johnny Gaudreau,Noah Hanifin,33,00:59:14,00:19:14,CGY,2019-03-29,7,6,3554.0,CGY,6.0,1.0,Insurance Goal
487,1,SJS,,Timo Meier , Joonas Donskoi,Logan Couture,30,00:12:01,00:12:01,SJS,2019-03-31,1,1,721.0,CGY,1.0,0.0,Go-Ahead Goal
488,1,CGY,,Sean Monahan , Johnny Gaudreau,Rasmus Andersson,34,00:14:58,00:14:58,SJS,2019-03-31,2,1,898.0,CGY,1.0,1.0,Tie
489,1,CGY,,Mark Jankowski , James Neal,Austin Czarnik,12,00:15:29,00:15:29,SJS,2019-03-31,3,2,929.0,CGY,1.0,2.0,Go-Ahead Goal
490,1,CGY,,Dalton Prout , Andrew Mangiapane,Garnet Hathaway,1,00:16:13,00:16:13,SJS,2019-03-31,4,3,973.0,CGY,1.0,3.0,Insurance Goal
491,2,CGY,,Mikael Backlund , Noah Hanifin,Johnny Gaudreau,21,00:27:27,00:07:27,SJS,2019-03-31,5,4,1647.0,CGY,1.0,4.0,Insurance Goal
492,3,SJS,,Logan Couture , Timo Meier,Tomas Hertl,27,00:45:23,00:05:23,SJS,2019-03-31,6,2,2723.0,CGY,2.0,4.0,Lead Shrink
493,3,CGY,,Michael Frolik , Mark Giordano,Matthew Tkachuk,16,00:48:25,00:08:25,SJS,2019-03-31,7,5,2905.0,CGY,2.0,5.0,Insurance Goal
494,3,SJS,,Kevin Labanc , Tim Heed,Joakim Ryan,15,00:56:34,00:16:34,SJS,2019-03-31,8,3,3394.0,CGY,3.0,5.0,Lead Shrink
495,1,CGY,,Derek Ryan , Oliver Kylington,Garnet Hathaway,11,00:02:07,00:02:07,LAK,2019-04-01,1,1,127.0,CGY,0.0,1.0,Go-Ahead Goal
496,1,LAK,,Kyle Clifford , Ilya Kovalchuk,Michael Amadio,10,00:13:29,00:13:29,LAK,2019-04-01,2,1,809.0,CGY,1.0,1.0,Tie
497,1,CGY,,Sam Bennett , Mark Jankowski,,13,00:14:09,00:14:09,LAK,2019-04-01,3,2,849.0,CGY,1.0,2.0,Go-Ahead Goal
498,1,LAK,,Dustin Brown , Drew Doughty,Anze Kopitar,22,00:19:20,00:19:20,LAK,2019-04-01,4,2,1160.0,CGY,2.0,2.0,Tie
499,2,CGY,,Johnny Gaudreau , Sean Monahan,,36,00:26:46,00:06:46,LAK,2019-04-01,5,3,1606.0,CGY,2.0,3.0,Go-Ahead Goal
500,3,CGY,,James Neal , Mark Jankowski,,7,00:40:13,00:00:13,LAK,2019-04-01,6,4,2413.0,CGY,2.0,4.0,Insurance Goal
501,3,CGY,,Derek Ryan , James Neal,Rasmus Andersson,12,00:42:33,00:02:33,LAK,2019-04-01,7,5,2553.0,CGY,2.0,5.0,Insurance Goal
502,3,CGY,,Andrew Mangiapane , Juuso Valimaki,Michael Stone,8,00:48:30,00:08:30,LAK,2019-04-01,8,6,2910.0,CGY,2.0,6.0,Insurance Goal
503,3,CGY,,Mark Jankowski , Austin Czarnik,Alan Quine,13,00:48:45,00:08:45,LAK,2019-04-01,9,7,2925.0,CGY,2.0,7.0,Insurance Goal
504,1,ANA,,Sam Steel , Rickard Rakell,Jakob Silfverberg,5,00:05:01,00:05:01,ANA,2019-04-03,1,1,301.0,ANA,1.0,0.0,Go-Ahead Goal
505,1,ANA,,Max Jones , Carter Rowney,Derek Grant,2,00:06:58,00:06:58,ANA,2019-04-03,2,2,418.0,ANA,2.0,0.0,Insurance Goal
506,1,CGY,,Derek Ryan , Johnny Gaudreau,Austin Czarnik,13,00:08:28,00:08:28,ANA,2019-04-03,3,1,508.0,ANA,2.0,1.0,Go-Ahead Goal
507,2,ANA,,Ryan Getzlaf , Carter Rowney,,14,00:24:57,00:04:57,ANA,2019-04-03,4,3,1497.0,ANA,3.0,1.0,Insurance Goal
508,1,EDM,,Leon Draisaitl , Andrej Sekera,Ryan Nugent-Hopkins,50,00:10:55,00:10:55,CGY,2019-04-06,1,1,655.0,EDM,0.0,1.0,Go-Ahead Goal
509,1,CGY,,Mark Jankowski , Travis Hamonic,Johnny Gaudreau,14,00:15:57,00:15:57,CGY,2019-04-06,2,1,957.0,EDM,1.0,1.0,Tie
510,2,EDM,PP,Alex Chiasson , Oscar Klefbom,Ryan Nugent-Hopkins,22,00:24:57,00:04:57,CGY,2019-04-06,3,2,1497.0,EDM,1.0,2.0,Go-Ahead Goal
511,3,EDM,,Darnell Nurse , Alex Chiasson,,10,00:45:21,00:05:21,CGY,2019-04-06,4,3,2721.0,EDM,1.0,3.0,Insurance Goal
512,1,ANA,,Max Comtois , Adam Henrique,Jakob Silfverberg,1,00:00:49,00:00:49,SJS,2018-10-03,1,1,49.0,ANA,0.0,1.0,Go-Ahead Goal
513,1,SJS,,Evander Kane , Justin Braun,,1,00:07:51,00:07:51,SJS,2018-10-03,2,1,471.0,ANA,1.0,1.0,Tie
514,2,SJS,SH,Tomas Hertl ,,,1,00:37:14,00:17:14,SJS,2018-10-03,3,2,2234.0,ANA,2.0,1.0,Go-Ahead Goal
515,2,ANA,PP,Rickard Rakell , Jakob Silfverberg,Ryan Getzlaf,1,00:38:00,00:18:00,SJS,2018-10-03,4,2,2280.0,ANA,2.0,2.0,Tie
516,3,ANA,,Brandon Montour , Rickard Rakell,Ryan Getzlaf,1,00:48:02,00:08:02,SJS,2018-10-03,5,3,2882.0,ANA,2.0,3.0,Go-Ahead Goal
517,3,ANA,PP,Adam Henrique , Jakob Silfverberg,Rickard Rakell,1,00:50:22,00:10:22,SJS,2018-10-03,6,4,3022.0,ANA,2.0,4.0,Insurance Goal
518,3,ANA,EN,Carter Rowney , Ben Street,Kiefer Sherwood,1,00:59:36,00:19:36,SJS,2018-10-03,7,5,3576.0,ANA,2.0,5.0,Insurance Goal
519,1,SJS,,Timo Meier , Marc-Edouard Vlasic,Joe Thornton,1,00:09:42,00:09:42,LAK,2018-10-05,1,1,582.0,SJS,0.0,1.0,Go-Ahead Goal
520,1,SJS,,Evander Kane , Antti Suomela,Joonas Donskoi,2,00:13:48,00:13:48,LAK,2018-10-05,2,2,828.0,SJS,0.0,2.0,Insurance Goal
521,1,LAK,,Anze Kopitar , Alex Iafallo,Derek Forbort,1,00:17:15,00:17:15,LAK,2018-10-05,3,1,1035.0,SJS,1.0,2.0,Go-Ahead Goal
522,2,LAK,,Tyler Toffoli , Tanner Pearson,,1,00:20:37,00:00:37,LAK,2018-10-05,4,2,1237.0,SJS,2.0,2.0,Tie
